Categoría	Título	Empresa	Ubicación	Contrato	Salario	Experiencia	Fecha publicación	Habilidades	Descripción	Enlace
big-data	Senior Data Analyst	Astrazeneca	Madrid	Indefinido	N/D	N/D	09/11/2025	ai, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo senior data analyst en Madrid AstraZeneca - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato regis	https://www.tecnoempleo.com/senior-data-analyst-astrazeneca/power-bi-sql/rf-a499103842a0a3472747
big-data	Data & AI Solution Architect	Michael Page	Madrid	Prácticas	49.500 €	5 años	03/11/2025	ai, airflow, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data & ai solution architect en Madrid Michael Page - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candi	https://www.tecnoempleo.com/data-ai-solution-architect-michael-page/snowflake-bigquery/rf-6f41147b321403c69644
big-data	Data Engineer / Data Architect	Grupo Digital	Madrid	Remoto	50.000 €	N/D	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data engineer / data architect en Grupo Digital - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato	https://www.tecnoempleo.com/data-engineer-data-architect-grupo-digital/azure-sql/rf-20311907f22243f16c46
big-data	Arquitecto/a Big Data	N/D	Madrid	Híbrido	N/D	N/D	30/01/2024	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo arquitecto/a big data en Hibrido Randstad  Technologies Centro Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato re	https://www.tecnoempleo.com/arquitecto-big-data-hibrido/big-data-datalakes-lakehouse-datamesh-datahubs/rf-5dbe18cb226ff3d2984b
big-data	Analista Programador/Data Scientist/BI	N/D	Madrid	Híbrido	N/D	2 años	27/10/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql, tensorflow	Oferta de Empleo analista programador/data scientist/bi en Hibrido Invoin Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registra	https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40
big-data	Data Engineer (m/f/d)	Basf	Madrid	Indefinido	N/D	N/D	09/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data engineer (m/f/d) en Madrid BASF - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado	https://www.tecnoempleo.com/data-engineer-m-f-d-basf/python-pyspark/rf-fa23109a624e3368de47
big-data	Data Solution Architect	Michael Page	Madrid	Indefinido	53.000 €	N/D	30/10/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data solution architect en Madrid Michael Page - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato 	https://www.tecnoempleo.com/data-solution-architect-michael-page/snowflake-bigquery/rf-c7ce19b32220634c1944
big-data	Data Engineer - EY GDS Spain	Ey	Híbrido	Híbrido	N/D	N/D	09/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data engineerey gds spain en Hibrido EY - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registr	https://www.tecnoempleo.com/data-engineer-ey-gds-spain-ey/databricks-datafactory/rf-58441ccca220433a7449
big-data	Data Analyst junior	N/D	Teletrabajo	Híbrido	N/D	1 años	06/11/2025	ai, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data analyst junior en Valladolid Segula Technologies Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado 	https://www.tecnoempleo.com/data-analyst-junior-segula-technologies/etl-sap/rf-b14f1732328823b43742
big-data	Google Cloud Data Architect	Devoteam	Madrid	Prácticas	N/D	N/D	12/06/2025	ai, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo google cloud data architect en Madrid Devoteam - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato 	https://www.tecnoempleo.com/google-cloud-data-architect-devoteam/gcp-bigquery-sql/rf-5d1914b1123d33664347
big-data	Data Platform Engineer	N/D	Madrid	Remoto	N/D	N/D	25/02/2025	ai, airflow, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data platform engineer en Krell Consulting & Training Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado 	https://www.tecnoempleo.com/data-platform-engineer-remoto/data-apache-airflow-sql-bigquery/rf-72bf10a9b237931dc144
big-data	Analista Junior de Datos	N/D	Remoto	Remoto	29.000 €	N/D	17/10/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo analista junior de datos en Krell Consulting & Training Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrad	https://www.tecnoempleo.com/analista-junior-datos-krell-consulting-training/sql-big-query/rf-c0731a6cb2c263d8784a
big-data	Data & AI Governance	Basf	Madrid	Indefinido	N/D	N/D	09/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data & ai governance en Madrid BASF - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado 	https://www.tecnoempleo.com/data-ai-governance-basf/inteligencia-artificial/rf-5ee3164962ef33e3704e
big-data	Data Analyst Power BI Senior	Ey	N/D	Indefinido	N/D	N/D	09/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data analyst power bi senior en Málaga EY - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato regis	https://www.tecnoempleo.com/data-analyst-power-bi-senior-ey/power-bi-etl/rf-93bf10b3526a83c86140
big-data	Arquitecto/a Técnico	Krell Consulting & Training	Remoto	Remoto	N/D	N/D	11/10/2024	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo arquitecto/a técnico en Krell Consulting & Training - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candi	https://www.tecnoempleo.com/arquitecto-tecnico-remoto/kafka-microservicios-microfrontends-big-data/rf-c5871f8d420113dea446
big-data	BI Developer	Omada	Valencia	Híbrido	N/D	N/D	09/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo bi developer en Hibrido Omada - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado Entra 	https://www.tecnoempleo.com/bi-developer-omada/sisense-reporting/rf-56c21dd2c28fd3f50f43
big-data	Desarrollador/a Big Data Spark	Serem	Remoto	Remoto	N/D	3 años	06/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo desarrollador/a big data spark en Serem - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registr	https://www.tecnoempleo.com/desarrollador-big-data-spark-serem/big-data-scala/rf-85b0190c226e5384d343
big-data	Ingeniero/a de Datos	Panel Sistemas Informáticos	Remoto	Remoto	N/D	8 años	07/11/2025	ai, airflow, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo ingeniero/a de datos en PANEL Sistemas Informáticos - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candi	https://www.tecnoempleo.com/ingeniero-datos-panel-sistemas-informaticos/etl-dbt/rf-308614d702ab33c53846
big-data	Cloud Architect	Talan	N/D	Indefinido	N/D	N/D	09/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo cloud architect en Málaga Talan - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado Entr	https://www.tecnoempleo.com/cloud-architect-talan/aws-azure/rf-d1a11888220553f63d49
big-data	Data Engineer (cloudera)	Randstad Es	Madrid	Indefinido	N/D	N/D	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data engineer (cloudera) en Madrid Randstad ES - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato 	https://www.tecnoempleo.com/data-engineer-cloudera-randstad-es/spark-xml/rf-d6a1166af206838b9742
big-data	Consultores Junior Python/Pyspark	Ey	N/D	Indefinido	N/D	N/D	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo consultores junior python/pyspark en Málaga EY - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato 	https://www.tecnoempleo.com/consultores-junior-python-pyspark-ey/etl-sql/rf-9a121d2852ae9372264d
big-data	Data Scientist - Consultor Junior	Accenture	Madrid	Indefinido	N/D	N/D	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data scientistconsultor junior en Madrid Accenture - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candid	https://www.tecnoempleo.com/data-scientist-consultor-junior-accenture/data/rf-49ed1eaf62381366004b
big-data	Azure Data Engineer	Serem	Remoto	Remoto	N/D	3 años	06/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo azure data engineer en Serem - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado Entra e	https://www.tecnoempleo.com/azure-data-engineer-serem/azure-data-factory-pyspark/rf-4e54191fc263c3f2c747
big-data	Consultor/a Funcional MAXIMO	Grupo Digital	Madrid	Remoto	500 €	4 años	06/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo consultor/a funcional maximo en Grupo Digital - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato r	https://www.tecnoempleo.com/consultor-funcional-maximo-grupo-digital/ibm/rf-6fa916c052ca8327fb45
big-data	Responsable SAP FI-CO	Grupo Digital	Remoto	Remoto	500 €	3 años	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo responsable sap fi-co en Grupo Digital - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registra	https://www.tecnoempleo.com/responsable-sap-fi-co-grupo-digital/api-connect/rf-86001663b2c873ef4b4e
big-data	Data Architecture Consultant	Accenture	Barcelona	Híbrido	N/D	4 años	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data architecture consultant en Barcelona Accenture - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candi	https://www.tecnoempleo.com/data-architecture-consultant-accenture/snowflake-dbt/rf-72311aed525333e7f947
big-data	Programmer analyst TALEND	N/D	Sevilla	Remoto	N/D	N/D	06/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo programmer analyst talend en Krell Consulting & Training Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registra	https://www.tecnoempleo.com/programmer-analyst-talend-krell-consulting-trainin/etl/rf-76671429c286a3157449
big-data	Data Engineer - SDS	Santander	Madrid	Híbrido	N/D	N/D	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data engineersds en Madrid Santander - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado	https://www.tecnoempleo.com/data-engineer-sds-santander/python-scala/rf-69c41ca86210f304744d
big-data	Arquitecto/a Cloud AWS/Azure	Cas Training	Remoto	Remoto	N/D	5 años	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo arquitecto/a cloud aws/azure en CAS TRAINING - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato re	https://www.tecnoempleo.com/arquitecto-cloud-aws-azure-cas-training/terraform-iac/rf-d07d1c29b2e063e3164e
